"","math_c","reading_c","Participate_saberpro","estu_trabaja","estudiantes","treat","cole_cod_dane","id_name","year_treated","year","COLE_MCPIO_UBICACION","BASE","cole_naturaleza","buffer_km","year_treated_sa","year_treated_att","time_to_treat","fuente"
"16",0.4,0.517,12,0,81,0,"105030000010",2,NA,2006,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"17",0.341,0.478000000000001,32,0,83,0,"105030000010",2,NA,2007,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"18",0.341,0.478,1,0,83,0,"105030000010",2,NA,2007,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"19",0.405,0.539000000000001,24,5,85,0,"105030000010",2,NA,2008,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"20",0.405,0.539,1,5,85,0,"105030000010",2,NA,2008,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"21",0.405,0.539,0,5,85,0,"105030000010",2,NA,2008,"ITAGUI","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"22",0.381,0.489,26,0,77,0,"105030000010",2,NA,2009,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"23",0.422,0.505,36,0,69,0,"105030000010",2,NA,2011,"AMAGÁ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"24",0.332999999999999,0.515999999999999,26,9,82,0,"105030000010",2,NA,2012,"AMAGÁ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"25",0.48,0.52,6,2,68,0,"105030000010",2,NA,2014,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"26",0.49,0.5,4,0,63,0,"105030000010",2,NA,2015,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"27",0.545,0.575,0,1,54,0,"105030000010",2,NA,2016,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"28",0.53,0.575,0,22,76,0,"105030000010",2,NA,2017,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"29",0.52,0.55,0,18,66,0,"105030000010",2,NA,2018,"AMAGÁ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"30",0.502328767123288,0.532191780821918,0,39,77,0,"105030000010",2,NA,2019,"AMAGÁ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"31",0.399999999999999,0.497999999999999,17,0,113,0,"105030000028",3,NA,2006,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"32",0.371000000000001,0.478,28,0,157,0,"105030000028",3,NA,2007,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"33",0.381999999999999,0.49,23,11,154,0,"105030000028",3,NA,2008,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"34",0.379,0.468000000000002,37,0,186,0,"105030000028",3,NA,2009,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"35",0.377,0.445999999999999,44,13,242,0,"105030000028",3,NA,2010,"AMAGÁ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"36",0.378,0.495,41,19,178,0,"105030000028",3,NA,2011,"AMAGÁ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"37",0.335763157894737,0.486263157894737,22,24,154,0,"105030000028",3,NA,2012,"AMAGÁ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"38",0.382865030674845,0.479392638036809,25,13,167,0,"105030000028",3,NA,2013,"AMAGÁ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"39",0.467134831460674,0.474831460674158,6,21,178,0,"105030000028",3,NA,2014,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"40",0.447337662337663,0.457337662337662,7,2,154,0,"105030000028",3,NA,2015,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"41",0.47734693877551,0.505510204081633,1,17,147,0,"105030000028",3,NA,2016,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"42",0.44431654676259,0.48956834532374,0,55,139,0,"105030000028",3,NA,2017,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"43",0.439999999999999,0.502739726027397,0,49,146,0,"105030000028",3,NA,2018,"AMAGÁ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"44",0.47728,0.51,0,37,125,0,"105030000028",3,NA,2019,"AMAGÁ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"59",0.399999999999999,0.478,41,0,171,0,"105045000148",6,NA,2006,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"60",0.371000000000001,0.467500000000001,64,0,164,0,"105045000148",6,NA,2007,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"61",0.381999999999999,0.49,47,6,164,0,"105045000148",6,NA,2008,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"62",0.356999999999999,0.468000000000002,51,0,141,0,"105045000148",6,NA,2009,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"63",0.357,0.468,0,0,141,0,"105045000148",6,NA,2009,"ENVIGADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"64",0.399999999999999,0.418999999999999,54,1,202,0,"105045000148",6,NA,2010,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"65",0.396000000000001,0.472999999999999,74,3,171,0,"105045000148",6,NA,2011,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"66",0.355886597938144,0.484257731958765,58,18,196,0,"105045000148",6,NA,2012,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"67",0.371497175141244,0.468717514124293,51,6,178,0,"105045000148",6,NA,2013,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"68",0.470218009478674,0.479829383886256,31,12,212,0,"105045000148",6,NA,2014,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"69",0.474020100502512,0.484020100502512,13,9,199,0,"105045000148",6,NA,2015,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"70",0.510000000000001,0.52,6,0,161,0,"105045000148",6,NA,2016,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"71",0.49,0.51,1,46,154,0,"105045000148",6,NA,2017,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"72",0.520000000000001,0.51,0,40,145,0,"105045000148",6,NA,2018,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"73",0.51,0.540000000000001,0,37,153,0,"105045000148",6,NA,2019,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"74",0.374,0.488,12,0,40,0,"105045000164",7,NA,2006,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"75",0.374,0.488,0,0,40,0,"105045000164",7,NA,2006,"SANTAFÉ DE ANTIOQUIA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"76",0.397,0.519,18,0,42,0,"105045000164",7,NA,2007,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"77",0.405,0.539000000000001,35,0,81,0,"105045000164",7,NA,2008,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"78",0.381,0.49,40,0,85,0,"105045000164",7,NA,2009,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"79",0.399999999999999,0.446,41,0,126,0,"105045000164",7,NA,2010,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"80",0.405000000000001,0.505000000000001,57,2,118,0,"105045000164",7,NA,2011,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"81",0.365595041322314,0.504289256198348,57,0,123,0,"105045000164",7,NA,2012,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"82",0.371,0.526000000000001,41,5,112,0,"105045000164",7,NA,2013,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"83",0.5,0.539999999999999,22,7,74,0,"105045000164",7,NA,2014,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"84",0.505000000000001,0.530000000000001,16,2,90,0,"105045000164",7,NA,2015,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"85",0.530000000000001,0.545000000000001,2,1,78,0,"105045000164",7,NA,2016,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"86",0.530000000000001,0.560000000000001,1,26,117,0,"105045000164",7,NA,2017,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"87",0.534999999999998,0.57,0,15,114,0,"105045000164",7,NA,2018,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"88",0.539999999999999,0.600000000000001,0,19,108,0,"105045000164",7,NA,2019,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"89",0.367413793103448,0.478931034482759,6,1,29,0,"105045000318",8,NA,2013,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"90",0.485,0.47,0,3,30,0,"105045000318",8,NA,2014,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"91",0.476428571428572,0.492142857142857,4,10,56,0,"105045000318",8,NA,2015,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"92",0.466666666666666,0.505,1,15,90,0,"105045000318",8,NA,2016,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"93",0.42976377952756,0.475511811023624,0,108,254,0,"105045000318",8,NA,2017,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"94",0.41233962264151,0.461169811320756,0,108,265,0,"105045000318",8,NA,2018,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"95",0.407142857142856,0.44357142857143,0,128,252,0,"105045000318",8,NA,2019,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"96",0.374,0.478000000000001,26,0,98,0,"105045000393",9,NA,2006,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"97",0.341,0.435,22,0,93,0,"105045000393",9,NA,2007,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"98",0.356,0.49,0,5,73,0,"105045000393",9,NA,2008,"","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"99",0.356000000000001,0.489999999999999,16,5,73,0,"105045000393",9,NA,2008,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"100",0.355,0.468000000000001,37,0,88,0,"105045000393",9,NA,2009,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"101",0.377,0.419,25,6,86,0,"105045000393",9,NA,2010,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"102",0.37,0.473,21,3,57,0,"105045000393",9,NA,2011,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"103",0.335025316455696,0.490481012658228,28,1,82,0,"105045000393",9,NA,2012,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"104",0.353,0.495,22,3,61,0,"105045000393",9,NA,2013,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"105",0.47,0.48,11,4,70,0,"105045000393",9,NA,2014,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"106",0.460000000000001,0.48,7,0,65,0,"105045000393",9,NA,2015,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"107",0.48,0.51,5,2,86,0,"105045000393",9,NA,2016,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"108",0.485,0.520000000000001,0,19,94,0,"105045000393",9,NA,2017,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"109",0.44,0.48,0,15,63,0,"105045000393",9,NA,2018,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"110",0.5,0.5,0,19,86,0,"105045000393",9,NA,2019,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"111",0.387,0.457,8,0,56,0,"105045000601",10,NA,2006,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"112",0.371,0.435,5,0,42,0,"105045000601",10,NA,2007,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"113",0.382000000000001,0.488,7,10,78,0,"105045000601",10,NA,2008,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"114",0.355,0.467,16,0,44,0,"105045000601",10,NA,2009,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"115",0.399,0.419,8,1,47,0,"105045000601",10,NA,2010,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"116",0.343,0.451,15,0,53,0,"105045000601",10,NA,2011,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"117",0.334655172413793,0.474655172413793,13,4,58,0,"105045000601",10,NA,2012,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
