"";"Estimate";"Std_Error";"t_value";"P_Value";"significancia";"agg";"Y_var";"table";"heterogenities"
"1";-0,000761355222583311;0,00403190801734402;-0,188832488069717;0,850302452325703;"";"ATT";"math_c";"base_ai";"FALSE"
"2";0,0128124343800672;0,00327677204565588;3,91007802848326;0,000105243909145524;"***";"ATT";"math_c";"base_10p";"FALSE"
"3";0,0114492811395639;0,00303688964419012;3,77006822143424;0,000182984836252794;"***";"ATT";"math_c";"base_50p";"FALSE"
"4";0,00236749878640003;0,00417418899845489;0,567175752529743;0,570852935193851;"";"ATT";"math_c";"base_ic";"FALSE"
"5";0,00886210192193651;0,00404325527844872;2,19182349657048;0,0288630448088172;"*";"ATT";"math_c";"base_ent";"FALSE"
"6";-0,0200171142776551;0,0116617633608353;-1,71647405784962;0,088060224860694;"";"ATT";"math_c";"base_ai";"PRIV"
"7";0,004136839505503;0,00369930469838191;1,11827487671196;0,264258110910004;"";"ATT";"math_c";"base_ai";"PUBL"
"8";0,0140387871329627;0,00984419763714359;1,42609765167578;0,155825529080188;"";"ATT";"math_c";"base_10p";"PRIV"
"9";0,0100819370088978;0,00313443061224622;3,21651306285348;0,0014249341736389;"***";"ATT";"math_c";"base_10p";"PUBL"
"10";0,0176737245499032;0,00726658780177618;2,43219032536608;0,0161320740759876;"*";"ATT";"math_c";"base_50p";"PRIV"
"11";0,00754179377930513;0,00333981381132192;2,25814797032653;0,0245794502696876;"*";"ATT";"math_c";"base_50p";"PUBL"
"12";-0,00507095151406214;0,0120957057379311;-0,419235687766449;0,67561693798768;"";"ATT";"math_c";"base_ic";"PRIV"
"13";0,00220461107139769;0,00373762968159494;0,589842028024813;0,555694180284998;"";"ATT";"math_c";"base_ic";"PUBL"
"14";0,00142301315903484;0,00760933940627597;0,187008764237954;0,851895207095019;"";"ATT";"math_c";"base_ent";"PRIV"
"15";0,0167073145737652;0,00404845610829344;4,12683603992631;0,0000465875134655304;"***";"ATT";"math_c";"base_ent";"PUBL"
"16";-0,000407691100486722;0,00291919748194542;-0,1396586229634;0,888987221616407;"";"ATT";"reading_c";"base_ai";"FALSE"
"17";0,0120082241591056;0,00273337551146913;4,39318494978814;0,0000136946028400607;"***";"ATT";"reading_c";"base_10p";"FALSE"
"18";0,00410170433694757;0,00241115587519891;1,70113611448252;0,0895479894451279;"";"ATT";"reading_c";"base_50p";"FALSE"
"19";0,000499356250640652;0,00322830000523561;0,154680869135707;0,877136216598091;"";"ATT";"reading_c";"base_ic";"FALSE"
"20";0,00606823313060557;0,00261240524775791;2,32285290952222;0,0205964977751276;"*";"ATT";"reading_c";"base_ent";"FALSE"
"21";-0,0154756815944313;0,00742022871139799;-2,08560708791355;0,0386423470987596;".";"ATT";"reading_c";"base_ai";"PRIV"
"22";0,00327863540804443;0,00283456627890743;1,1566621082179;0,248242015276067;"";"ATT";"reading_c";"base_ai";"PUBL"
"23";0,017492907481482;0,00743756554574403;2,35196683295005;0,0199154669461367;"*";"ATT";"reading_c";"base_10p";"PRIV"
"24";0,00788664415693755;0,00276372295509301;2,85363051401515;0,00459279496884226;"**";"ATT";"reading_c";"base_10p";"PUBL"
"25";0,00707452169694641;0,00480054039863198;1,47369277403903;0,142566519934248;"";"ATT";"reading_c";"base_50p";"PRIV"
"26";0,00291368294028572;0,00275156691950111;1,0589177096278;0,290400173688378;"";"ATT";"reading_c";"base_50p";"PUBL"
"27";-0,00534651844166045;0,0082310281575174;-0,649556572926733;0,516927886417367;"";"ATT";"reading_c";"base_ic";"PRIV"
"28";-0,0000286393762114335;0,00309463394280355;-0,00925452791533978;0,992621569113388;"";"ATT";"reading_c";"base_ic";"PUBL"
"29";0,00557248846733545;0,00475600680815586;1,17167377846883;0,24310307691001;"";"ATT";"reading_c";"base_ent";"PRIV"
"30";0,00585177036457936;0,0033731419437963;1,73481296135243;0,0837047989344196;"";"ATT";"reading_c";"base_ent";"PUBL"
"31";-0,00940219605749852;0,0425810616395675;-0,220806990137647;0,825334883420174;"";"ATT";"Participate_saberpro";"base_ai";"FALSE"
"32";-0,0130585042962351;0,0363161803330584;-0,359578132294603;0,719317235952519;"";"ATT";"Participate_saberpro";"base_10p";"FALSE"
"33";-0,0323746083939898;0,0295984986633543;-1,09379224812077;0,274580242166025;"";"ATT";"Participate_saberpro";"base_50p";"FALSE"
"34";-0,0266237428905921;0,0464268767603041;-0,573455393694627;0,566597882230898;"";"ATT";"Participate_saberpro";"base_ic";"FALSE"
"35";-0,0427821071923318;0,0353680484808672;-1,20962589201028;0,227006936169517;"";"ATT";"Participate_saberpro";"base_ent";"FALSE"
"36";0,0205985418739386;0,10142265941971;0,203096053601762;0,839324619033111;"";"ATT";"Participate_saberpro";"base_ai";"PRIV"
"37";-0,0173262627497169;0,0459810719496954;-0,376812936607314;0,706553346668751;"";"ATT";"Participate_saberpro";"base_ai";"PUBL"
"38";-0,0785529421422364;0,069867689628135;-1,12431000023513;0,262597589451022;"";"ATT";"Participate_saberpro";"base_10p";"PRIV"
"39";0,0174377821977487;0,0434118103393519;0,401682907518413;0,688175072318606;"";"ATT";"Participate_saberpro";"base_10p";"PUBL"
"40";-0,0111662301271425;0,0652860345498637;-0,171035508652529;0,864416077299672;"";"ATT";"Participate_saberpro";"base_50p";"PRIV"
"41";-0,0264382794615276;0,033103795489694;-0,79864798191369;0,425060384723665;"";"ATT";"Participate_saberpro";"base_50p";"PUBL"
"42";-0,0455473345104792;0,101689123529742;-0,44790763190281;0,65483730624785;"";"ATT";"Participate_saberpro";"base_ic";"PRIV"
"43";-0,0299079230551469;0,0520077090105413;-0,575067112629109;0,565631926902745;"";"ATT";"Participate_saberpro";"base_ic";"PUBL"
"44";-0,103207571907633;0,0673009876685662;-1,53352239666815;0,127159851220313;"";"ATT";"Participate_saberpro";"base_ent";"PRIV"
"45";0,0209059759040218;0,0299351697943772;0,698375056751762;0,485433021913178;"";"ATT";"Participate_saberpro";"base_ent";"PUBL"
"46";-3,99002150447854;1,19417291608254;-3,34124267159544;0,000897888461290101;"***";"ATT";"estu_trabaja";"base_ai";"FALSE"
"47";-1,12282298532261;0,981130741449772;-1,1444172910773;0,253008197307742;"";"ATT";"estu_trabaja";"base_10p";"FALSE"
"48";0,264273997230245;0,993722163535057;0,265943547329285;0,790393866379654;"";"ATT";"estu_trabaja";"base_50p";"FALSE"
"49";-4,08627145958874;1,18459400276685;-3,44951219577718;0,000609771139960692;"***";"ATT";"estu_trabaja";"base_ic";"FALSE"
"50";-2,1492169802161;1,00876915742794;-2,13053399223264;0,033625942718536;"*";"ATT";"estu_trabaja";"base_ent";"FALSE"
"51";-2,99526204230689;1,94051642617228;-1,5435386178179;0,124726284652143;"";"ATT";"estu_trabaja";"base_ai";"PRIV"
"52";-4,04259719961237;1,35729541203299;-2,9784210303616;0,00311065584062655;"***";"ATT";"estu_trabaja";"base_ai";"PUBL"
"53";0,690791876765045;1,42111259034892;0,486092292374551;0,627579504288335;"";"ATT";"estu_trabaja";"base_10p";"PRIV"
"54";-1,10947830638685;1,17065630272092;-0,947740428858683;0,343948858684533;"";"ATT";"estu_trabaja";"base_10p";"PUBL"
"55";1,5943449522739;1,32561841462432;1,20271786713655;0,230896187276547;"";"ATT";"estu_trabaja";"base_50p";"PRIV"
"56";1,17081262357376;1,21391440065571;0,964493561441674;0,335494248597683;"";"ATT";"estu_trabaja";"base_50p";"PUBL"
"57";-3,25865335203145;2,08443078099672;-1,56333008595913;0,119988414243361;"";"ATT";"estu_trabaja";"base_ic";"PRIV"
"58";-3,73902666832789;1,33561252719366;-2,79948457520401;0,00541511069599859;"**";"ATT";"estu_trabaja";"base_ic";"PUBL"
"59";0,740926828782167;1,14454396516628;0,64735549820013;0,518347320146423;"";"ATT";"estu_trabaja";"base_ent";"PRIV"
"60";-0,153071187423546;1,23077950297689;-0,124369301774454;0,901098371161451;"";"ATT";"estu_trabaja";"base_ent";"PUBL"
"61";-10,1870390057262;3,97949569346306;-2,55988190223701;0,0107702874129108;"*";"ATT";"estudiantes_prom";"base_ai";"FALSE"
"62";-10,2864160871293;3,81209112406479;-2,6983657400511;0,00720808168566939;"**";"ATT";"estudiantes_prom";"base_10p";"FALSE"
"63";0,788376898877637;1,9019105474526;0,414518390433021;0,678674803873784;"";"ATT";"estudiantes_prom";"base_50p";"FALSE"
"64";-11,0573433423663;4,93859728388545;-2,23896436715871;0,0256035552790264;"*";"ATT";"estudiantes_prom";"base_ic";"FALSE"
"65";-2,19374403207538;1,83261744956001;-1,19705508239162;0,231865073476043;"";"ATT";"estudiantes_prom";"base_ent";"FALSE"
"66";-8,09024957593374;5,15835158663066;-1,56837885903356;0,118818915037083;"";"ATT";"estudiantes_prom";"base_ai";"PRIV"
"67";-10,4960508023153;4,95723633708066;-2,11731902386895;0,0349759631140364;"*";"ATT";"estudiantes_prom";"base_ai";"PUBL"
"68";-4,16679606641398;4,61720616690016;-0,902449645043992;0,368200508733051;"";"ATT";"estudiantes_prom";"base_10p";"PRIV"
"69";-14,722561884844;4,87198084434632;-3,02188418945217;0,00270670166838963;"***";"ATT";"estudiantes_prom";"base_10p";"PUBL"
"70";6,18527814877855;2,91450439941695;2,12224011396789;0,0353865651873596;"*";"ATT";"estudiantes_prom";"base_50p";"PRIV"
"71";-1,4255940257572;2,46534752180753;-0,578252766860223;0,563481991440448;"";"ATT";"estudiantes_prom";"base_50p";"PUBL"
"72";-9,37026879200962;5,14541418434239;-1,82109125841095;0,0704967670526642;"";"ATT";"estudiantes_prom";"base_ic";"PRIV"
"73";-10,8452318504038;6,33366685796292;-1,71231485545672;0,0877640437036894;"";"ATT";"estudiantes_prom";"base_ic";"PUBL"
"74";-2,52539158439593;2,67903542602329;-0,942649567028897;0,347308445668093;"";"ATT";"estudiantes_prom";"base_ent";"PRIV"
"75";-1,31144888672588;2,4698026524538;-0,530993391485319;0,595779464126533;"";"ATT";"estudiantes_prom";"base_ent";"PUBL"
"76";0,0548797705552198;0,0743408960494697;0,738217770723403;0,460736254512391;"";"ATT";"math_c_sd";"base_ai";"FALSE"
"77";0,0636279576657562;0,0503112314203061;1,26468694701985;0,206583516521986;"";"ATT";"math_c_sd";"base_10p";"FALSE"
"78";0,0397930691548547;0,0420568799871893;0,946172639695951;0,344524046525273;"";"ATT";"math_c_sd";"base_50p";"FALSE"
"79";0,165145923312956;0,0780415534244786;2,11612808902849;0,0348345274431121;"*";"ATT";"math_c_sd";"base_ic";"FALSE"
"80";0,0482846124634242;0,0534033583810949;0,904149363020532;0,366361412711624;"";"ATT";"math_c_sd";"base_ent";"FALSE"
"81";-0,205049661681213;0,225460075357121;-0,909472159788917;0,364503937430388;"";"ATT";"math_c_sd";"base_ai";"PRIV"
"82";0,13756600848826;0,0694465816156449;1,98088955982923;0,0484285587823344;".";"ATT";"math_c_sd";"base_ai";"PUBL"
"83";-0,0492747961835904;0,14078441909038;-0,350001772227061;0,726806454060441;"";"ATT";"math_c_sd";"base_10p";"PRIV"
"84";0,109735006342826;0,0506218895468015;2,16773825167812;0,0308866884747003;"*";"ATT";"math_c_sd";"base_10p";"PUBL"
"85";0,0815111870362999;0,0949454326976935;0,858505614438892;0,391922118912571;"";"ATT";"math_c_sd";"base_50p";"PRIV"
"86";0,0332157568096854;0,0464447114371871;0,715167686090744;0,475003546679582;"";"ATT";"math_c_sd";"base_50p";"PUBL"
"87";0,150666155977138;0,221750143929676;0,679441074116815;0,497858924432167;"";"ATT";"math_c_sd";"base_ic";"PRIV"
"88";0,164626556053917;0,0774969853658167;2,12429625845204;0,0343774384532382;"*";"ATT";"math_c_sd";"base_ic";"PUBL"
"89";-0,0602859646993917;0,10052315900514;-0,599722146578275;0,549555972694661;"";"ATT";"math_c_sd";"base_ent";"PRIV"
"90";0,169724822036094;0,049907603699016;3,40078083210876;0,000754179957009257;"***";"ATT";"math_c_sd";"base_ent";"PUBL"
"91";0,0117145179616505;0,0634503075274656;0,184625077767822;0,853599657415075;"";"ATT";"reading_c_sd";"base_ai";"FALSE"
"92";0,113435329185625;0,0513072309619853;2,21090335726113;0,0275026541171215;"*";"ATT";"reading_c_sd";"base_10p";"FALSE"
"93";0,0479849114957192;0,0394610929718352;1,21600563699459;0,224564692030986;"";"ATT";"reading_c_sd";"base_50p";"FALSE"
"94";0,067779791630155;0,0711309417374408;0,95288758976852;0,341113978673157;"";"ATT";"reading_c_sd";"base_ic";"FALSE"
"95";-0,00689050919873616;0,043639328790453;-0,157896773156685;0,874603320494801;"";"ATT";"reading_c_sd";"base_ent";"FALSE"
"96";-0,231646842851811;0,159891825157654;-1,44877227227475;0,149408274998377;"";"ATT";"reading_c_sd";"base_ai";"PRIV"
"97";0,0827523400204216;0,0673829785198198;1,22808967246945;0,220283230631341;"";"ATT";"reading_c_sd";"base_ai";"PUBL"
"98";0,135389821604912;0,14298190583212;0,946901783249963;0,345143954571359;"";"ATT";"reading_c_sd";"base_10p";"PRIV"
"99";0,101396393751256;0,0508321399661688;1,99472998419385;0,0468871094301068;".";"ATT";"reading_c_sd";"base_10p";"PUBL"
"100";0,0932742553712009;0,0755971666879117;1,23383268788718;0,219109101724933;"";"ATT";"reading_c_sd";"base_50p";"PRIV"
"101";0,0398698635937012;0,0455660841506526;0,874989903935604;0,382206286182533;"";"ATT";"reading_c_sd";"base_50p";"PUBL"
"102";0,0252276275466148;0,182188305118715;0,138470071007996;0,890046368265206;"";"ATT";"reading_c_sd";"base_ic";"PRIV"
"103";0,0593206963391684;0,0755562532204946;0,785119613674514;0,432938324716747;"";"ATT";"reading_c_sd";"base_ic";"PUBL"
"104";-0,0125998047785235;0,0785504685239505;-0,160403941762381;0,872769083619654;"";"ATT";"reading_c_sd";"base_ent";"PRIV"
"105";0,0265389005090892;0,0549771578239178;0,482725945820782;0,629609435644287;"";"ATT";"reading_c_sd";"base_ent";"PUBL"
"106";0,146695047246458;0,0608689712008351;2,41001358085128;0,0163201568063157;"*";"ATT";"Participate_saberpro_sd";"base_ai";"FALSE"
"107";0,0324804232122067;0,0727891984582695;0,446225867301285;0,65563081856485;"";"ATT";"Participate_saberpro_sd";"base_10p";"FALSE"
"108";-0,011660030642004;0,0376265834681244;-0,309888104825723;0,756776993864819;"";"ATT";"Participate_saberpro_sd";"base_50p";"FALSE"
"109";0,257265639267894;0,0792621967171482;3,24575459580008;0,00125104689023664;"***";"ATT";"Participate_saberpro_sd";"base_ic";"FALSE"
"110";-0,0723060443916193;0,138932714878133;-0,520439296497183;0,602992976325448;"";"ATT";"Participate_saberpro_sd";"base_ent";"FALSE"
"111";0,180103503320602;0,198935323554845;0,905336971344604;0,366683006845377;"";"ATT";"Participate_saberpro_sd";"base_ai";"PRIV"
"112";0,138098748775792;0,0522217586848719;2,64446759844183;0,00857064379790322;"**";"ATT";"Participate_saberpro_sd";"base_ai";"PUBL"
"113";0,0571161257044076;0,271282516744564;0,210541122921634;0,833518363164948;"";"ATT";"Participate_saberpro_sd";"base_10p";"PRIV"
"114";0,0532556259712341;0,0313157227803985;1,70060344270797;0,0899510888932583;"";"ATT";"Participate_saberpro_sd";"base_10p";"PUBL"
"115";-0,0449849846527588;0,142506758517136;-0,315669131210709;0,752672888341418;"";"ATT";"Participate_saberpro_sd";"base_50p";"PRIV"
"116";0,0266683888346255;0,0271585236804115;0,981952817039922;0,326831720925436;"";"ATT";"Participate_saberpro_sd";"base_50p";"PUBL"
"117";0,337165102030567;0,23606689970976;1,42826081269803;0,155203101857857;"";"ATT";"Participate_saberpro_sd";"base_ic";"PRIV"
"118";0,233846908931471;0,0717256083552953;3,26029871748319;0,00122727281983553;"***";"ATT";"Participate_saberpro_sd";"base_ic";"PUBL"
"119";-0,312008803944955;0,29573232784524;-1,05503786555331;0,293028869422134;"";"ATT";"Participate_saberpro_sd";"base_ent";"PRIV"
