"","Periodo","TWFE","Sun_And_Abraham","Callaway","buffer"
"142","DependentVar.:","reading_c","reading_c","reading_c","Reading_a1"
"143",""," "," ","","Reading_a1"
"144","-8","-0.6990 0.6979","0.3700 0.5953",NA,"Reading_a1"
"145","-7","-0.6100 0.9017","0.3690 0.8116","-0.0130 0.7170","Reading_a1"
"146","-6","-0.3360 0.7551","0.5640 0.7081","1.1930 1.0180","Reading_a1"
"147","-5","-1.190 0.5718","0.0090 0.4881","-1.6170 1.2100","Reading_a1"
"148","-4","-0.3560 0.5295","0.3390 0.5419","0.4620 0.9730","Reading_a1"
"149","-3","0.5910 0.6192","1.060 0.6632","1.4220 1.0930","Reading_a1"
"150","-2","-0.3090 0.2524","-0.0030 0.2233","-0.5820 1.0980","Reading_a1"
"151","0","0.0000 0.1653","-0.0860 0.1655","-0.1160 0.2830","Reading_a1"
"152","1","-0.2540 0.1885","-0.1810 0.1845","-0.1290 0.2610","Reading_a1"
"153","2","-0.2540 0.1990","-0.0350 0.2041","-0.0430 0.3160","Reading_a1"
"154","3","-0.4480 0.2274","-0.5520 0.2407","-0.4630 0.3750","Reading_a1"
"155","4","-0.5090 0.2395","-0.6410 0.2387","-0.6090 0.3590","Reading_a1"
"156","5","-0.3540 0.2399","-0.1400 0.2204","-0.0140 0.3120","Reading_a1"
"157","6","-0.1140 0.2664","-0.4260 0.2672","-0.270 0.4010","Reading_a1"
"158","7","0.0600 0.2724","-0.6440 0.2678","-0.4230 0.4060","Reading_a1"
"159","8","0.2040 0.2906","-0.1890 0.2923","0.2140 0.4150","Reading_a1"
"160","9","0.3950 0.3082","-0.0250 0.3176","0.4750 0.4240","Reading_a1"
"161","10","0.7830 0.3265","0.2450 0.3336","0.7560 0.4300","Reading_a1"
"162","11","0.5480 0.3357","-0.1130 0.3439","0.530 0.4540","Reading_a1"
"163","12","1.170 0.3790","-0.0700 0.5177","0.1070 0.6550","Reading_a1"
"164","13","1.240 0.4741",NA,NA,"Reading_a1"
"165","14","1.580 0.4901",NA,NA,"Reading_a1"
"166","15","2.090 0.4927",NA,NA,"Reading_a1"
"167","Fixed-Effects:","-----------------","------------------","------------------","Reading_a1"
"168","cole_cod_dane","Yes","Yes","No","Reading_a1"
"169","year","Yes","Yes","No","Reading_a1"
"170","__________________________","_________________","__________________","__________________","Reading_a1"
"171","S.E.:Clustered","by0cole_cod_dane","by0cole_cod_dane","by0cole_cod_dane","Reading_a1"
"172","Observations","12,546","12,546","11235","Reading_a1"
"173","R2","0.79188","0.79157","","Reading_a1"
"174","WithinR2","0.01275","0.01129","","Reading_a1"
