"","Periodo","TWFE","Sun_And_Abraham","Callaway","buffer"
"175","DependentVar.:","reading_c","reading_c","reading_c","Reading_ic"
"176",""," "," ","","Reading_ic"
"177","-8","-0.4860 0.6849","0.3910 0.5916",NA,"Reading_ic"
"178","-7","-0.4380 0.8832","0.2530 0.8024","-0.1190 0.6840","Reading_ic"
"179","-6","-0.0770 0.7489","0.5750 0.6978","1.2470 1.0730","Reading_ic"
"180","-5","-0.6800 0.5763","0.1200 0.5390","-1.3350 1.1510","Reading_ic"
"181","-4","-0.1850 0.5280","0.3320 0.5261","0.5760 0.9520","Reading_ic"
"182","-3","0.4880 0.6594","0.7810 0.6969","1.0300 1.0630","Reading_ic"
"183","-2","-0.0650 0.4942","0.4490 0.4433","-0.5640 1.2230","Reading_ic"
"184","0","0.0560 0.1923","-0.1040 0.2052","-0.1140 0.3180","Reading_ic"
"185","1","-0.0770 0.2133","-0.3350 0.2185","-0.0910 0.310","Reading_ic"
"186","2","0.39600 0.2109","0.3320 0.2114","0.3390 0.3150","Reading_ic"
"187","3","-0.0670 0.2337","-0.2080 0.2350","-0.1830 0.3480","Reading_ic"
"188","4","-0.7530 0.2756","-1.190 0.3064","-1.1170 0.4620","Reading_ic"
"189","5","0.1480 0.2564","0.1590 0.2431","0.2740 0.3640","Reading_ic"
"190","6","-0.0600 0.2666","-0.4210 0.2721","-0.2790 0.3540","Reading_ic"
"191","7","-0.3050 0.3161","-0.54540 0.3303","-0.2580 0.490","Reading_ic"
"192","8","0.1050 0.2952","-0.3340 0.2941","-0.0860 0.4080","Reading_ic"
"193","9","0.9040 0.3385","0.0470 0.3518","0.6020 0.4640","Reading_ic"
"194","10","0.5090 0.3501","0.0010 0.3702","0.5710 0.480","Reading_ic"
"195","11","0.7950 0.3571","0.1970 0.3786","0.8050 0.4950","Reading_ic"
"196","12","0.8320 0.3714","0.0350 0.3868","0.8110 0.5360","Reading_ic"
"197","13","1.070 0.4436",NA,NA,"Reading_ic"
"198","14","2.170 0.4634",NA,NA,"Reading_ic"
"199","15","1.530 0.5214",NA,NA,"Reading_ic"
"200","16","1.890 0.5346",NA,NA,"Reading_ic"
"201","17","2.430 0.5386",NA,NA,"Reading_ic"
"202","Fixed-Effects:","------------------","------------------","------------------","Reading_ic"
"203","cole_cod_dane","Yes","Yes","No","Reading_ic"
"204","year","Yes","Yes","No","Reading_ic"
"205","__________________________","__________________","__________________","__________________","Reading_ic"
"206","S.E.:Clustered","by0cole_cod_dane","by0cole_cod_dane","by0cole_cod_dane","Reading_ic"
"207","Observations","12,546","12,545","10874","Reading_ic"
"208","R2","0.79279","0.79094","","Reading_ic"
"209","WithinR2","0.01706","0.00838","","Reading_ic"
