"","Periodo","TWFE","Sun_And_Abraham","Callaway","buffer"
"1","DependentVar.:","math_c","math_c","math_c","math_10p"
"2",""," "," ","","math_10p"
"3","-8","0.1530 0.7120","-0.5460 0.8491","0.6240 1.6510","math_10p"
"4","-7","0.3980 0.5279","-0.2830 0.6819","-0.0320 1.1860","math_10p"
"5","-6","-0.0530 0.4142","-0.4020 0.4110","0.2840 1.3870","math_10p"
"6","-5","-0.2960 0.2866","-0.3780 0.2934","0.3900 0.3710","math_10p"
"7","-4","-0.1680 0.2619","-0.2010 0.2772","0.160 0.2120","math_10p"
"8","-3","-0.3760 0.2296","-0.39600 0.2311","-0.0740 0.2300","math_10p"
"9","-2","-0.3820 0.1801","-0.31970 0.1846","0.0150 0.2970","math_10p"
"10","0","-0.1010 0.1801","-0.1120 0.1725","-0.1770 0.3780","math_10p"
"11","1","0.0860 0.1857","0.1040 0.1865","0.0500 0.3840","math_10p"
"12","2","0.2830 0.1922","0.2860 0.1974","0.1790 0.420","math_10p"
"13","3","0.1260 0.2334","0.1590 0.2328","0.2190 0.4770","math_10p"
"14","4","0.55740 0.2921","0.6610 0.2877","0.9970 0.5510","math_10p"
"15","5","0.6940 0.3092","0.7470 0.3028","1.1240 0.5140","math_10p"
"16","6","1.000 0.3398","1.080 0.3304","1.4590 0.5640","math_10p"
"17","7","1.070 0.3493","1.040 0.3291","1.4730 0.4990","math_10p"
"18","8","1.840 0.4244","1.820 0.4280","2.3630 0.7750","math_10p"
"19","Fixed-Effects:","-----------------","-----------------","------------------","math_10p"
"20","cole_cod_dane","Yes","Yes","No","math_10p"
"21","year","Yes","Yes","No","math_10p"
"22","__________________________","_________________","__________________","__________________","math_10p"
"23","S.E.:Clustered","by0cole_cod_dane","by0cole_cod_dane","by0cole_cod_dane","math_10p"
"24","Observations","12,469","12,469","12546","math_10p"
"25","R2","0.85144","0.85275","","math_10p"
"26","WithinR2","0.00841","0.01718","","math_10p"
