"","Periodo","TWFE","Sun_And_Abraham","Callaway","buffer"
"27","DependentVar.:","math_c","math_c","math_c","math_ai"
"28",""," "," ","","math_ai"
"29","-8","0.4320 0.9644","0.5530 0.7452",NA,"math_ai"
"30","-7","0.6060 0.8514","0.8100 0.7418","0.5150 1.0320","math_ai"
"31","-6","-1.430 0.8958","-1.4990 0.8550","-0.800 1.1720","math_ai"
"32","-5","0.0730 0.8272","0.2480 0.6876","0.6240 1.5860","math_ai"
"33","-4","0.2050 0.4715","0.80030 0.4612","-0.2140 1.5250","math_ai"
"34","-3","0.0100 0.5570","0.6440 0.5696","0.6010 1.3070","math_ai"
"35","-2","-0.47210 0.2791","-0.4440 0.2760","-1.0050 1.4250","math_ai"
"36","0","-0.0310 0.1877","-0.1370 0.1897","-0.0820 0.2160","math_ai"
"37","1","-0.38230 0.2192","-0.4690 0.2221","-0.2300 0.2860","math_ai"
"38","2","-0.5650 0.2577","-0.3780 0.2468","-0.1660 0.3190","math_ai"
"39","3","-0.7280 0.2965","-0.6750 0.2952","-0.420 0.3470","math_ai"
"40","4","-0.5910 0.2915","-0.6530 0.2842","-0.4900 0.3320","math_ai"
"41","5","-0.2000 0.2981","-0.1510 0.2713","0.120 0.3050","math_ai"
"42","6","-0.1170 0.3239","-0.3530 0.3091","-0.0380 0.3390","math_ai"
"43","7","-0.2320 0.3761","-0.7440 0.3721","-0.1800 0.4090","math_ai"
"44","8","-0.2570 0.4156","-0.73980 0.4362","0.1750 0.4690","math_ai"
"45","9","-0.1610 0.4265","-0.9250 0.4509","0.0980 0.4860","math_ai"
"46","10","0.3770 0.4556","-0.6020 0.4803","0.4860 0.5520","math_ai"
"47","11","0.6460 0.4637","-0.9450 0.4717","0.2490 0.5000","math_ai"
"48","12","1.440 0.5122","-0.8750 0.6015","0.0100 0.7570","math_ai"
"49","13","3.020 0.6431",NA,NA,"math_ai"
"50","14","3.850 0.6266",NA,NA,"math_ai"
"51","15","4.140 0.6259",NA,NA,"math_ai"
"52","Fixed-Effects:","-----------------","-----------------","------------------","math_ai"
"53","cole_cod_dane","Yes","Yes","No","math_ai"
"54","year","Yes","Yes","No","math_ai"
"55","__________________________","_________________","__________________","__________________","math_ai"
"56","S.E.:Clustered","by0cole_cod_dane","by0cole_cod_dane","by0cole_cod_dane","math_ai"
"57","Observations","12,546","12,546","11235","math_ai"
"58","R2","0.85358","0.85063","","math_ai"
"59","WithinR2","0.02670","0.00707","","math_ai"
