"","Periodo","TWFE","Sun_And_Abraham","Callaway","buffer"
"95","DependentVar.:","math_c","math_c","math_c","math_ent"
"96",""," "," ","","math_ent"
"97","-8","-1.580 0.3750","-2.160 0.4341","0.040 0.3650","math_ent"
"98","-7","-1.500 0.3473","-1.970 0.4076","0.1290 0.4350","math_ent"
"99","-6","-1.350 0.3253","-1.090 0.3718","0.910 0.4840","math_ent"
"100","-5","-1.240 0.3289","-0.9650 0.3751","-0.1780 0.4910","math_ent"
"101","-4","-1.320 0.2831","-1.350 0.3340","-0.2660 0.5020","math_ent"
"102","-3","-0.9210 0.2600","-1.010 0.2695","0.320 0.6180","math_ent"
"103","-2","-1.130 0.2432","-1.010 0.2678","0.0760 0.7090","math_ent"
"104","0","0.51880 0.2699","0.3340 0.2698","0.4110 0.7690","math_ent"
"105","1","0.4020 0.2827","0.1710 0.2856","0.2430 0.7600","math_ent"
"106","2","2.470 0.4109","1.420 0.4849","1.440 1.3540","math_ent"
"107","3","2.510 0.4228","1.450 0.5318","1.6240 1.2180","math_ent"
"108","Fixed-Effects:","-------------------","------------------","------------------","math_ent"
"109","cole_cod_dane","Yes","Yes","No","math_ent"
"110","year","Yes","Yes","No","math_ent"
"111","__________________________","___________________","__________________","__________________","math_ent"
"112","S.E.:Clustered","by0cole_cod_dane","by0cole_cod_dane","by0cole_cod_dane","math_ent"
"113","Observations","10,234","10,064","12376","math_ent"
"114","R2","0.86835","0.86980","","math_ent"
"115","WithinR2","0.02379","0.03302","","math_ent"
