"","Periodo","TWFE","Sun_And_Abraham","Callaway","buffer"
"60","DependentVar.:","math_c","math_c","math_c","math_ic"
"61",""," "," ","","math_ic"
"62","-8","0.4660 0.9458","0.6280 0.7272",NA,"math_ic"
"63","-7","0.6250 0.8472","0.8640 0.7223","0.50 0.9220","math_ic"
"64","-6","-1.410 0.9020","-1.350 0.8365","-0.8110 1.1330","math_ic"
"65","-5","0.0230 0.8073","0.0620 0.6512","0.4110 1.4080","math_ic"
"66","-4","0.0400 0.4756","0.6150 0.4524","-0.3950 1.4080","math_ic"
"67","-3","-0.2170 0.5687","0.3980 0.5694","0.6510 1.3350","math_ic"
"68","-2","-1.030 0.6778","-0.5930 0.5615","-1.0090 1.3760","math_ic"
"69","0","0.0290 0.2363","0.2300 0.2258","0.3110 0.2800","math_ic"
"70","1","-0.3380 0.2398","-0.43770 0.2347","-0.050 0.300","math_ic"
"71","2","0.1260 0.2764","0.0730 0.2636","0.4460 0.3540","math_ic"
"72","3","-0.56230 0.2928","-0.7270 0.2849","-0.340 0.3600","math_ic"
"73","4","-0.6390 0.3224","-0.6510 0.3257","-0.280 0.4630","math_ic"
"74","5","-0.2990 0.3078","-0.2860 0.2841","0.1140 0.3490","math_ic"
"75","6","-0.0610 0.3196","-0.0200 0.3012","0.3980 0.3570","math_ic"
"76","7","-0.2550 0.3629","-0.4540 0.3480","0.1630 0.4400","math_ic"
"77","8","0.0740 0.4081","-0.71350 0.4205","0.1490 0.5360","math_ic"
"78","9","0.0460 0.4486","-0.9150 0.4617","0.3620 0.5670","math_ic"
"79","10","0.1270 0.4688","-0.88650 0.4938","0.3330 0.5680","math_ic"
"80","11","0.5100 0.4796","-0.6040 0.5021","0.7840 0.6010","math_ic"
"81","12","0.3150 0.4836","-1.180 0.4856","0.2570 0.5580","math_ic"
"82","13","2.590 0.6564",NA,NA,"math_ic"
"83","14","3.720 0.6343",NA,NA,"math_ic"
"84","15","3.670 0.7093",NA,NA,"math_ic"
"85","16","4.460 0.6927",NA,NA,"math_ic"
"86","17","4.550 0.6854",NA,NA,"math_ic"
"87","Fixed-Effects:","-----------------","-----------------","------------------","math_ic"
"88","cole_cod_dane","Yes","Yes","No","math_ic"
"89","year","Yes","Yes","No","math_ic"
"90","__________________________","_________________","__________________","__________________","math_ic"
"91","S.E.:Clustered","by0cole_cod_dane","by0cole_cod_dane","by0cole_cod_dane","math_ic"
"92","Observations","12,546","12,545","10874","math_ic"
"93","R2","0.85470","0.85058","","math_ic"
"94","WithinR2","0.03411","0.00676","","math_ic"
