"";"Score at 1000 M..";"Score at 1500 ..";"Score at 2000 Me..";"Score at 2500 M..";"Score at 3000 ..";"Score at 3500 ..";"Score at 4000 ..";"Score at 4500 .."
"Dependent Var.:";"math_c";"math_c";"math_c";"math_c";"math_c";"math_c";"math_c";"math_c"
" ";" ";" ";" ";" ";" ";" ";" ";" "
"year = -8";"0.6282 (0.7272)";"-1.471 (1.753)";"  ";"4.258* (1.833)";"0.4085 (0.8907)";"  ";"-0.1807 (2.718)";"  "
"year = -7";"0.8643 (0.7223)";"1.316 (2.022)";"2.787*** (0.4461)";"-0.1906 (1.717)";"0.8491 (0.6830)";"3.235. (1.884)";"-0.9936 (0.9503)";"  "
"year = -6";"-1.352 (0.8365)";"-0.2638 (1.520)";"-1.598*** (0.3999)";"-2.445 (1.944)";"0.8545. (0.5000)";"1.127 (1.448)";"0.3388 (0.6041)";"  "
"year = -5";"0.0621 (0.6512)";"0.5974 (1.734)";"0.0716 (0.3619)";"-1.558. (0.8146)";"0.8101 (0.5480)";"-1.213* (0.5817)";"-0.2416 (1.251)";"  "
"year = -4";"0.6158 (0.4524)";"0.5056 (1.489)";"2.946* (1.243)";"-1.541 (1.333)";"0.8927 (0.6611)";"2.547* (1.028)";"-0.1955 (1.162)";"  "
"year = -3";"0.3984 (0.5694)";"-0.0696 (1.396)";"-0.4570 (1.337)";"-0.8474 (1.663)";"-0.4690 (0.6069)";"2.028 (1.285)";"0.3564 (0.6939)";"  "
"year = -2";"-0.5931 (0.5615)";"-0.3600 (1.262)";"1.775. (0.9863)";"0.5388 (0.7866)";"-0.6369 (0.5259)";"1.504 (1.550)";"0.5004 (1.450)";"  "
"year = 0";"0.2309 (0.2258)";"0.8057. (0.4353)";"0.8365 (0.5466)";"0.4779 (0.5006)";"0.6184. (0.3649)";"1.318. (0.7297)";"0.1795 (0.5185)";"0.3384 (0.6614)"
"year = 1";"-0.4377. (0.2347)";"-0.3697 (0.5351)";"0.9034. (0.4686)";"0.5379 (0.5092)";"-0.1205 (0.5175)";"-0.2203 (0.7239)";"-0.7230 (0.5027)";"-0.3733 (0.6253)"
"year = 2";"0.0737 (0.2636)";"0.4215 (0.5903)";"0.3122 (0.5312)";"-0.1135 (0.5497)";"-0.4999 (0.5162)";"0.8115 (0.8877)";"0.0310 (0.5404)";"-0.0046 (0.6881)"
"year = 3";"-0.7270* (0.2849)";"-0.2900 (0.5423)";"-0.3122 (0.5776)";"-0.9493. (0.5601)";"-0.6141 (0.5615)";"0.4642 (0.7117)";"-0.2572 (0.5382)";"-0.5759 (0.8294)"
"year = 4";"-0.6512* (0.3257)";"-0.3639 (0.6586)";"0.4989 (0.7534)";"-1.196. (0.7096)";"-0.9219 (0.6565)";"-0.4628 (0.9361)";"-0.2505 (0.7484)";"-0.2253 (0.9555)"
"year = 5";"-0.2867 (0.2841)";"0.7280 (0.5241)";"0.4255 (0.5844)";"-0.0301 (0.6101)";"-0.8656 (0.6260)";"0.1604 (0.8371)";"-0.0425 (0.5478)";"0.1610 (0.7176)"
"year = 6";"-0.0208 (0.3012)";"-0.1336 (0.5786)";"0.5410 (0.7597)";"-0.1285 (0.5739)";"-0.7203 (0.5899)";"0.3335 (0.8970)";"-0.3083 (0.5725)";"0.4295 (0.7974)"
"year = 7";"-0.4545 (0.3480)";"0.5100 (0.7097)";"0.4808 (0.7276)";"-0.5739 (0.7606)";"0.0210 (0.6559)";"-0.0979 (1.046)";"-0.4694 (0.7777)";"0.8281 (1.053)"
"year = 8";"-0.7135. (0.4205)";"0.9260 (0.8136)";"-0.5387 (0.8670)";"-1.227 (0.8765)";"-0.7587 (0.8397)";"-0.8959 (1.383)";"-0.9418 (0.9473)";"-0.2610 (1.030)"
"year = 9";"-0.9159* (0.4617)";"0.5662 (0.9431)";"-0.8786 (0.9641)";"-2.023* (0.9400)";"-1.171 (0.9609)";"-0.9633 (1.356)";"-1.566 (1.013)";"-0.6257 (1.327)"
"year = 10";"-0.8865. (0.4938)";"0.8451 (0.9755)";"-1.102 (1.094)";"-1.821. (1.070)";"-1.601 (1.067)";"-0.5590 (1.422)";"-1.646. (0.9895)";"-0.7483 (1.433)"
"year = 11";"-0.6047 (0.5021)";"0.4935 (0.9666)";"-2.092. (1.064)";"-0.8240 (1.092)";"-1.146 (1.034)";"-0.7844 (1.516)";"-1.021 (1.058)";"-1.039 (1.322)"
"year = 12";"-1.183* (0.4856)";"1.348 (0.9363)";"-1.285 (1.047)";"-0.6475 (1.109)";"-1.691 (1.053)";"-0.0417 (1.466)";"-1.976. (1.055)";"-2.057 (1.328)"
"Fixed-Effects:";"-----------------";"----------------";"------------------";"-----------------";"----------------";"----------------";"----------------";"----------------"
"cole_cod_dane";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes"
"year";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes"
"_______________";"_________________";"________________";"__________________";"_________________";"________________";"________________";"________________";"________________"
"S.E.: Clustered";"by: cole_cod_dane";"by: cole_cod_d..";"by: cole_cod_dane";"by: cole_cod_dane";"by: cole_cod_d..";"by: cole_cod_d..";"by: cole_cod_d..";"by: cole_cod_d.."
"Observations";"12,545";"2,849";"2,578";"2,749";"2,289";"1,391";"2,039";"1,848"
"R2";"0.85058";"0.84313";"0.86348";"0.87734";"0.85904";"0.85083";"0.85157";"0.88184"
"Within R2";"0.00676";"0.01070";"0.03061";"0.03196";"0.01430";"0.02601";"0.01490";"0.00966"
